007.pgm.atts,448,-1,-1,-1,-1
008.pgm.atts,443,-1,-1,-1,-1
010.pgm.atts,399,-1,-1,-1,-1
019.pgm.atts,541,-1,-1,-1,-1
020.pgm.atts,668,-1,-1,-1,-1
101.pgm.atts,831,-1,-1,-1,-1
103.pgm.atts,524,-1,-1,-1,-1
104.pgm.atts,657,-1,-1,-1,-1
105.pgm.atts,544,-1,-1,-1,-1
108.pgm.atts,772,-1,-1,-1,-1
110.pgm.atts,922,-1,-1,-1,-1
125.pgm.atts,711,-1,-1,-1,-1
126.pgm.atts,320,750.5072,1.336,0.62504,0.098112
131.pgm.atts,594,-1,-1,-1,-1
202.pgm.atts,902,-1,-1,-1,-1
203.pgm.atts,627,-1,-1,-1,-1
204.pgm.atts,731,-1,-1,-1,-1
216.pgm.atts,1024,-1,-1,-1,-1
217.pgm.atts,558,-1,-1,-1,-1
217095.pgm.atts,707,-1,-1,-1,-1
222.pgm.atts,1080,-1,-1,-1,-1
223.pgm.atts,638,-1,-1,-1,-1
56.pgm.atts,486,-1,-1,-1,-1
S003I005.PGM.atts,425,-1,-1,-1,-1
S003I007.pgm.atts,373,-1,-1,-1,-1
S004I001.PGM.atts,408,-1,-1,-1,-1
S004I003.PGM.atts,383,-1,-1,-1,-1
S004I004.PGM.atts,411,-1,-1,-1,-1
S004I006.PGM.atts,503,-1,-1,-1,-1
S004I007.PGM.atts,457,-1,-1,-1,-1
S004I008.PGM.atts,458,-1,-1,-1,-1
S004I00C.PGM.atts,361,-1,-1,-1,-1
S004I00D.PGM.atts,455,-1,-1,-1,-1
S004I00E.PGM.atts,683,-1,-1,-1,-1
S005I001.pgm.atts,396,-1,-1,-1,-1
S005I002.pgm.atts,389,76.2534,1.9575,0.26862,0.097638
S005I003.pgm.atts,381,-1,-1,-1,-1
S005I004.pgm.atts,323,112.2603,0.97692,0.26198,0.12369
S005I005.pgm.atts,385,-1,-1,-1,-1
S005I006.pgm.atts,422,-1,-1,-1,-1
S005I007.pgm.atts,388,-1,-1,-1,-1
S005I008.pgm.atts,384,-1,-1,-1,-1
S005I009.pgm.atts,367,-1,-1,-1,-1
S005I00A.PGM.atts,235,-1,-1,-1,-1
S005I00B.PGM.atts,454,233.3339,1.5289,0.71085,0.098476
S005I00C.PGM.atts,455,263.3353,0.96263,0.49812,0.097999
S006I008.PGM.atts,341,-1,-1,-1,-1
S006I009.PGM.atts,406,-1,-1,-1,-1
S006I00A.PGM.atts,429,-1,-1,-1,-1
S006I00B.PGM.atts,340,-1,-1,-1,-1
S006I00E.PGM.atts,444,-1,-1,-1,-1
S006I015.PGM.atts,329,-1,-1,-1,-1
S006I016.PGM.atts,322,-1,-1,-1,-1
S006I017.PGM.atts,338,-1,-1,-1,-1
S006I018.PGM.atts,347,-1,-1,-1,-1
S006I019.PGM.atts,365,-1,-1,-1,-1
S006I01A.PGM.atts,336,1447.2963,2.271,0.64427,0.095843
airfield.pgm.atts,903,-1,-1,-1,-1
airfield_edges.pgm.atts,1190,-1,-1,-1,-1
airplane.pgm.atts,525,-1,-1,-1,-1
boatbilledheron.pgm.atts,257,-1,-1,-1,-1
buildings.pgm.atts,699,-1,-1,-1,-1
coffee.pgm.atts,494,-1,-1,-1,-1
collarlemur.pgm.atts,75,3.1281,3.5349,0.70861,0.20378
colobus.pgm.atts,87,7.5533,1.1395,0.54206,0.17528
dog1.pgm.atts,457,-1,-1,-1,-1
dog2.pgm.atts,544,-1,-1,-1,-1
dog3.pgm.atts,619,-1,-1,-1,-1
giraffe.pgm.atts,767,-1,-1,-1,-1
goldenbackedwoodpecker.pgm.atts,601,-1,-1,-1,-1
golfcart.pgm.atts,770,-1,-1,-1,-1
homes.pgm.atts,954,-1,-1,-1,-1
image0.pgm.atts,217,-1,-1,-1,-1
image1.pgm.atts,300,-1,-1,-1,-1
image10.pgm.atts,266,-1,-1,-1,-1
image12.pgm.atts,249,-1,-1,-1,-1
image13.pgm.atts,202,-1,-1,-1,-1
image15.pgm.atts,228,1132.7721,1.4575,0.46498,0.12479
image24.pgm.atts,321,-1,-1,-1,-1
image25.pgm.atts,236,-1,-1,-1,-1
image29.pgm.atts,194,-1,-1,-1,-1
image32.pgm.atts,218,329.2003,1.0256,0.62182,0.14245
image35.pgm.atts,116,3.3187,0.83717,0.49699,0.2043
image36.pgm.atts,168,-1,-1,-1,-1
image41.pgm.atts,210,43.1604,0.62136,0.48106,0.096065
largebuilding.pgm.atts,1004,-1,-1,-1,-1
lilacbreastedroller.pgm.atts,385,-1,-1,-1,-1
mailbox.pgm.atts,790,-1,-1,-1,-1
nicobarpigeon.pgm.atts,677,-1,-1,-1,-1
pheasant.pgm.atts,621,-1,-1,-1,-1
police.pgm.atts,1037,-1,-1,-1,-1
redbirdofparadise.pgm.atts,557,-1,-1,-1,-1
rhino.pgm.atts,291,-1,-1,-1,-1
school.pgm.atts,534,-1,-1,-1,-1
series.pgm.atts,630,-1,-1,-1,-1
tiger.pgm.atts,253,173.6938,0.7201,0.73225,0.099613
tiger_m.pgm.atts,648,-1,-1,-1,-1
woods.pgm.atts,576,-1,-1,-1,-1
zebra.pgm.atts,729,-1,-1,-1,-1
zebra1.pgm.atts,674,-1,-1,-1,-1
zebra_b.pgm.atts,707,-1,-1,-1,-1
