007.pgm.atts,448,675.2953,8.1448,0.33907,0.097381
008.pgm.atts,443,-1,-1,-1,-1
010.pgm.atts,399,423.5423,79.2882,0.33488,0.084841
019.pgm.atts,541,-1,-1,-1,-1
020.pgm.atts,668,800.1867,104.1018,0.40773,0.077595
101.pgm.atts,831,1331.7201,73.4216,0.44328,0.087367
103.pgm.atts,524,457.8752,31.2088,0.4279,0.092027
104.pgm.atts,657,524.4531,52.7306,0.34567,0.099281
105.pgm.atts,544,759.5644,68.6707,0.29811,0.063575
108.pgm.atts,772,806.0818,73.0592,0.48474,0.091208
110.pgm.atts,922,887.0694,90.5131,0.62439,0.099562
125.pgm.atts,711,-1,-1,-1,-1
126.pgm.atts,320,750.5072,35.6984,0.12548,0.084285
131.pgm.atts,594,598.4568,41.4622,0.33797,0.067053
202.pgm.atts,902,1143.2382,52.1164,0.56071,0.093072
203.pgm.atts,627,-1,-1,-1,-1
204.pgm.atts,731,800.0567,130.4001,0.51531,0.09055
216.pgm.atts,1024,-1,-1,-1,-1
217.pgm.atts,558,-1,-1,-1,-1
217095.pgm.atts,707,1019.5355,25.0164,0.43772,0.088199
222.pgm.atts,1080,2489.5046,166.2231,0.67772,0.097343
223.pgm.atts,638,733.1028,124.3343,0.33629,0.075584
56.pgm.atts,486,724.845,31.2424,0.37394,0.091294
S003I005.PGM.atts,425,717.6957,104.0238,0.2517,0.099619
S003I007.pgm.atts,373,881.285,5.5647,0.37284,0.094387
S004I001.PGM.atts,408,787.8135,52.334,0.36077,0.090415
S004I003.PGM.atts,383,359.6498,35.0425,0.36213,0.096851
S004I004.PGM.atts,411,104.3312,9.1642,0.4454,0.096366
S004I006.PGM.atts,503,326.6157,29.6909,0.33411,0.078452
S004I007.PGM.atts,457,212.7081,30.7035,0.40819,0.098852
S004I008.PGM.atts,458,213.5545,33.3894,0.46809,0.099736
S004I00C.PGM.atts,361,792.2117,18.6151,0.48563,0.099208
S004I00D.PGM.atts,455,198.4963,21.5339,0.50842,0.09623
S004I00E.PGM.atts,683,983.0875,39.035,0.55334,0.099408
S005I001.pgm.atts,396,88.8299,21.0591,0.45446,0.096866
S005I002.pgm.atts,389,76.2534,3.3928,0.37612,0.09622
S005I003.pgm.atts,381,449.4747,12.5236,0.33461,0.066562
S005I004.pgm.atts,323,112.2603,4.0958,0.30206,0.097142
S005I005.pgm.atts,385,98.1029,18.0406,0.37092,0.099127
S005I006.pgm.atts,422,174.9223,9.3551,0.40202,0.080337
S005I007.pgm.atts,388,134.5684,23.7937,0.17649,0.098637
S005I008.pgm.atts,384,433.4512,39.0204,0.34846,0.090964
S005I009.pgm.atts,367,366.1874,46.12,0.43748,0.09601
S005I00A.PGM.atts,235,1140.4564,73.4701,0.38432,0.094053
S005I00B.PGM.atts,454,233.3339,5.8336,0.6921,0.097455
S005I00C.PGM.atts,455,263.3353,1.9208,0.39252,0.097165
S006I008.PGM.atts,341,49.6456,17.1611,0.45276,0.097923
S006I009.PGM.atts,406,113.5541,7.1271,0.43917,0.098814
S006I00A.PGM.atts,429,454.3948,10.0487,0.4108,0.086513
S006I00B.PGM.atts,340,452.252,14.9443,0.26385,0.098973
S006I00E.PGM.atts,444,475.1924,28.1291,0.43664,0.099109
S006I015.PGM.atts,329,1263.5202,169.7903,0.32926,0.096832
S006I016.PGM.atts,322,1343.6077,28.0258,0.54127,0.098957
S006I017.PGM.atts,338,1373.2159,37.6241,0.26037,0.099858
S006I018.PGM.atts,347,1415.2109,44.6591,0.38557,0.091514
S006I019.PGM.atts,365,94.0031,17.1842,0.51955,0.099129
S006I01A.PGM.atts,336,1447.2963,17.4976,0.47337,0.097291
airfield.pgm.atts,903,-1,-1,-1,-1
airfield_edges.pgm.atts,1190,1254.1572,146.217,0.99942,0.046447
airplane.pgm.atts,525,161.5678,11.9148,0.089984,0.063622
boatbilledheron.pgm.atts,257,1210.6837,35.3498,0.41535,0.099678
buildings.pgm.atts,699,534.6175,37.4695,0.48773,0.092595
coffee.pgm.atts,494,113.8512,40.6489,0.431,0.098636
collarlemur.pgm.atts,75,3.1281,1.0695,0.4527,0.13288
colobus.pgm.atts,87,7.5533,1.2172,0.59382,0.12358
dog1.pgm.atts,457,-1,-1,-1,-1
dog2.pgm.atts,544,258.3871,50.0338,0.46679,0.09573
dog3.pgm.atts,619,432.2935,60.6163,0.4775,0.095678
giraffe.pgm.atts,767,2395.747,235.0426,0.43066,0.087261
