007.pgm.atts,448,675.2953,0.4191,0.44978,0.09549
008.pgm.atts,443,904.4045,0.93566,0.50273,0.096786
010.pgm.atts,399,841.1027,0.57582,0.19434,0.085045
019.pgm.atts,541,1238.2833,0.8054,0.57463,0.096834
020.pgm.atts,668,800.1867,0.49273,0.60193,0.095191
101.pgm.atts,831,1331.7201,0.75463,0.26176,0.054135
103.pgm.atts,524,457.8752,0.29345,0.062985,0.091968
104.pgm.atts,657,1741.3829,0.87234,0.36969,0.067214
105.pgm.atts,544,1271.8948,0.58293,0.46095,0.093312
108.pgm.atts,772,806.0818,0.52007,0.55639,0.098029
110.pgm.atts,922,887.0694,0.65435,0.60562,0.091999
125.pgm.atts,711,600.6289,0.35578,0.59609,0.094958
126.pgm.atts,320,750.5072,0.39199,0.49971,0.099074
131.pgm.atts,594,598.4568,0.39023,0.37354,0.097303
202.pgm.atts,902,1186.3715,0.56587,0.58752,0.096345
203.pgm.atts,627,1265.9726,0.62712,0.31647,0.094597
204.pgm.atts,731,800.0567,0.49849,0.57194,0.090247
216.pgm.atts,1024,981.2453,0.90984,0.60088,0.099473
217.pgm.atts,558,1090.9047,0.48475,0.39767,0.098561
217095.pgm.atts,707,1019.5355,1.3283,0.51755,0.090959
222.pgm.atts,1080,2489.5046,1.3304,0.70258,0.098238
223.pgm.atts,638,733.1028,0.80926,0.24324,0.098816
56.pgm.atts,486,938.8748,0.47736,0.35351,0.097931
S003I005.PGM.atts,425,717.6957,0.36966,0.31206,0.092147
S003I007.pgm.atts,373,881.285,0.66272,0.19976,0.094646
S004I001.PGM.atts,408,787.8135,0.52055,0.49281,0.096618
S004I003.PGM.atts,383,770.489,0.49383,0.69305,0.093957
S004I004.PGM.atts,411,870.101,0.67185,0.63484,0.085892
S004I006.PGM.atts,503,1328.9307,0.79342,0.40357,0.094813
S004I007.PGM.atts,457,1105.4715,0.51969,0.54318,0.099288
S004I008.PGM.atts,458,1087.025,0.46277,0.54118,0.097815
S004I00C.PGM.atts,361,792.2117,0.4731,0.86871,0.095688
S004I00D.PGM.atts,455,1183.065,0.59803,0.53845,0.099794
S004I00E.PGM.atts,683,1039.4836,0.71905,0.52848,0.095254
S005I001.pgm.atts,396,1595.0649,2.3099,0.072722,0.093585
S005I002.pgm.atts,389,1575.9963,1.5231,0.62731,0.091213
S005I003.pgm.atts,381,1608.4348,1.5298,0.40683,0.09827
S005I004.pgm.atts,323,1399.6564,0.97729,0.16817,0.099341
S005I005.pgm.atts,385,1623.5659,0.59858,0.26493,0.098442
S005I006.pgm.atts,422,1763.7868,0.93607,0.40596,0.099379
