007.pgm.atts,448,675.2953,15.75,0.93453,0.088778
008.pgm.atts,443,904.4045,199.023,0.41808,0.098607
010.pgm.atts,399,841.1027,203.2066,0.64693,0.097925
019.pgm.atts,541,1238.2833,285.728,0.59947,0.090857
020.pgm.atts,668,800.1867,158.5367,0.54906,0.099821
101.pgm.atts,831,1331.7201,167.2463,0.39663,0.092954
103.pgm.atts,524,457.8752,117.3514,0.84533,0.14608
104.pgm.atts,657,1741.3829,335.489,0.47928,0.099281
105.pgm.atts,544,1271.8948,233.061,0.29534,0.088869
108.pgm.atts,772,806.0818,173.6575,0.36781,0.090221
110.pgm.atts,922,887.0694,145.995,0.67346,0.099518
125.pgm.atts,711,1979.6654,323.5441,0.71821,0.081359
126.pgm.atts,320,750.5072,165.4125,0.72665,0.09198
131.pgm.atts,594,598.4568,131.2264,0.44787,0.075771
202.pgm.atts,902,1186.3715,176.2547,0.62592,0.095346
203.pgm.atts,627,1265.9726,230.2377,0.40912,0.09502
204.pgm.atts,731,2350.702,426.606,0.46269,0.098926
216.pgm.atts,1024,981.2453,283.8646,0.43944,0.094473
217.pgm.atts,558,1090.9047,198.0299,0.67573,0.089803
217095.pgm.atts,707,1442.8645,270.652,0.52951,0.095997
222.pgm.atts,1080,2489.5046,356.3072,0.57197,0.097013
223.pgm.atts,638,733.1028,137.7339,0.35864,0.07133
56.pgm.atts,486,938.8748,181.7457,0.96734,0.095198
S003I005.PGM.atts,425,717.6957,143.7955,0.79954,0.086388
S003I007.pgm.atts,373,881.285,211.1467,0.83871,0.10328
S004I001.PGM.atts,408,787.8135,125.4874,0.94453,0.097723
S004I003.PGM.atts,383,770.489,199.8724,0.92428,0.099064
S004I004.PGM.atts,411,870.101,200.5152,1,0.09548
S004I006.PGM.atts,503,1328.9307,253.4684,0.84007,0.098331
S004I007.PGM.atts,457,1105.4715,194.1247,0.98993,0.099869
S004I008.PGM.atts,458,1087.025,215.5577,0.93014,0.094373
S004I00C.PGM.atts,361,792.2117,148.1179,0.94432,0.23338
S004I00D.PGM.atts,455,1183.065,256.4281,0.31665,0.097022
S004I00E.PGM.atts,683,983.0875,383.5562,0.64309,0.090965
S005I001.pgm.atts,396,1595.0649,288.2959,0.97456,0.095226
S005I002.pgm.atts,389,1575.9963,212.652,0.94432,0.099808
S005I003.pgm.atts,381,1608.4348,285.1876,0.92212,0.098353
S005I004.pgm.atts,323,1399.6564,226.7588,0.83735,0.25211
S005I005.pgm.atts,385,1623.5659,242.109,0.83479,0.091423
S005I006.pgm.atts,422,1763.7868,281.7679,0.94361,0.096273
S005I007.pgm.atts,388,1714.398,281.7779,0.7932,0.12213
S005I008.pgm.atts,384,1687.07,263.7997,0.83275,0.079032
S005I009.pgm.atts,367,1641.0684,272.4737,0.81606,0.088336
S005I00A.PGM.atts,235,1140.4564,238.7583,0.78299,0.25467
